,Unnamed: 0,Id,EssaySet,Score1,Score2,EssayText
4019,4020,6019,3.0,0.0,0.0,"باندا في صين تشب حيوان كوالا في استرالي لان كلا ياكل كثير ، وهم لطيف غير مخيف جدا. كلا مختلف تمام عن ثعاب لان علي رغم من انهم يمك ان يكو حيوانا اليف ، الا انهم مخيف ايضا. علي سبيل مثال ، ايفرجليدز في عام 2005 ، ""ابتلع ثعبان تمساحا."" لا اعتقد ان باندا او كوالا يحاول اكل تمساح. علي رغم من تعقب ثعب ، الا انن ما زلت علي درا بما يمك عله."
4020,4021,6020,3.0,1.0,1.0,باندا في صين تشب حيوانا كوالا في استرالي لان متخصصان. كلا ياكل شيء واحد فقط ، تاكل باندا خيزر والكوال تاكل اوكالبتوس. كلا منقرض تقريبا. تختلف كوالا والباند عن ثعاب لان ثعب هو اختصاص والباند والكوال متخصصون.
4021,4022,6021,3.0,1.0,1.0,اختلاف بين ثعب والباند صين / كوال استرالي هي ان باندا والكوال ياكل خيزر والاوكالبتوس ينم يفضل ثعب اكل حيوان اخري مثل قطارات.
4023,4024,6023,3.0,1.0,1.0,باندا في صين تشب كوالا في استرالي لان كلا من باندا والكوال لدي مصدر واحد فقط غذاء. ياكل باندا خيزر ياكل كوالا اوراق كينا.
4024,4025,6025,3.0,0.0,0.0,تتشاب حيوانا باندا في صين والكوال في استرالي لان ثدييا دافء ذات رو. ثعاب من زواحف ليس دافء او روي.
4025,4026,6026,3.0,1.0,1.0,"باندا في صين و في استرالي كلا متخصصان. ياكل كل منهم نوع واحد فقط من اطعم متخصص الت تناسب قط. تختلف هذه حيوان عن ثعاب ، وه عام ، لان ثعاب يمك ان تعيش في كثير من اماك فه مثال علي ""الانواع الت (اصبحت) اكثر وفر (لانها) تعمل شكل افضل في بشر حولهم."" ساعد بشر علي ازدهار ثعابين."
4026,4027,6027,3.0,1.0,1.0,كوالا في استرالي والباند في صين متشابه جدا لان كلا متخصص. نظر لان كلا متخصص ، فكل خاص فيم ياكلانه. ياكل كوالا اوراق اوكالبتوس حصري والباند لا ياكل شيء سوي خيزران.
4027,4028,6028,3.0,2.0,2.0,باندا في صين تشب حيوانا كوالا في استرالي ، حيث كلا متخصص. هذا يعن انهم ياكل نوع واحد فقط من طعام مما يجعل من صعب علي تكيف مع مناخ جديدة. يختلف اختصاص اختلاف كبير عن ثعاب الت يمك ان تتكيف ثعاب شكل اسهل ، حيث يمك بقاء علي قيد حيا عن طريق تناول اي شيء تقريبا. يطلق علي حيو مشابه ثعاب والكرا والصراصير اسم عموم لان ياكل مجموع متنوع من طعام ويم بقاء علي قيد حيا في ظروف متغير تقريبا.
4028,4029,6029,3.0,1.0,1.0,تشب باندا في صين كوالا في استرالي ، لان وفق مقال ، يذكر ان باندا والكوال كلا متخصصان. يذكر ان باندا في صين لا تاكل شيء تقريب سوي خيزر ، وان كوالا في استرالي لا تاكل شيء تقريب سوي اوراق كينا.
4030,4031,6031,3.0,1.0,1.0,تشب باندا في صين كوالا في استرالي لان تاكل اشياء صح مثل اوراق كينا والخيزران. لكن هنا اختلاف عن ثعاب لان باندا تاكل بشر والحيوانا اخري والحيوانا اخري يقال في مقال ؛ تمساح.
4031,4032,6032,3.0,0.0,0.0,"تشب باندا في صين كوالا في استرالي لان دبب ، لكن مختلف لان باندا في صين تاكل خيزر ، ياكل كولا في استرالي اوراق كينا. وفق للنص وارد في فقر 21 ، ""الاخصاء هو باندا صين الت لا تاكل شيء تقريب سوي خيزر او دب كوالا استرال ، الذ ياكل اوراق اوكالبتوس شكل حصر تقريبا."
4032,4033,6033,3.0,1.0,1.0,"باندا والكوال كلا متخصصان. انهم لا ينتشر في جميع انحاء عالم يختلف عن ثعاب لان ثعاب خطير تنتشر. ""الباند صين متخصص هو الذ لا ياكل سوي خيزران"". (5). هذا يخبر ان باندا لا استطيع تكيف مع اما اخري مثل ثعابين."
4033,4034,6034,3.0,0.0,1.0,باندا والكوال متشابه لان لا احد منهم ياكل لحوم وكل نباتي. تاكل ثعاب لحوم ولء قدرا تاكل اشياء كبير ، تنظف ، تاكل نمل ، اشياء من هذا قبيل ناه عن تشكيل ثعاب والسمات.
4034,4035,6035,3.0,0.0,0.0,اوراق باندا في صين والكوال في استرالي متشابه لان يلتصق طعام الذ يشبهانه. تختلف باندا والكوال عن ثعاب لان باندا والكوال يمك بقاء علي قيد حيا عندم تنخفض درج حرار بضع درجا تكون ثعاب كاينا ذوا الدم دافي.
4035,4036,6036,3.0,1.0,1.0,"باندا في صين تشب حيوان كوالا في استرالي لان متخصصان. وصف في مقال احد متخصص بان ""باند صين .. او كوال استراليا."" ياكل باندا في غالب خيزر ياكل كوالا في غالب اوكالبتوس. يجب ان تكون هذه حيوان في نوع بيء بقاء علي قيد حيا ، في حين ان ثعاب يمك ان تعيش تعيش في عديد من مناطق مختلفة."
4036,4037,6037,3.0,0.0,0.0,تشب حيوانا باندا في صين حيوانا كوالا في استرالي لان تعيش علي طعام واحد فقط في موط طبيعي. اظهر خريط استخداما موط محتمل ثعب يمتد من يفورنيا الي ديلاوير يتضم كثير من جنوب.
4037,4038,6038,3.0,1.0,1.0,باندا في صين والكوال في استرالي متشابه لان كلا ياكل شيء واحد فقط ولا استطيع عيش في مكان لا يتوفر فيه هذا طعام ، بل يختلف عن ثعاب لان ثعب سوف ياكل اي شيء ، وقد ذكر مقال انه تمساح.
4039,4040,6040,3.0,0.0,1.0,باندا والكوال متشابه لان ياكل شجر ياكل ثعب اي شيء يرون لان جايعون. لا يقتل باندا والكوال حيوان ، ولك بصق ثعب ينون علي حيوان او انسان. باندا والكوال دود والثعب شرير.
4040,4041,6041,3.0,0.0,1.0,باندا والكوال تختلف عن ثعاب لان. تقول مقال ان باندا والكوال من انواع متخصص وان ثعب هو اختصاصي. ايض باندا والكوال ياكل يترك خيزر ياكل ثعب فير ، علي سبيل مثال ثعب كان ياكل انواع مهدد انقراض.
4041,4042,6042,3.0,1.0,2.0,كلا متشاب مع بعض بعض من حيث انهم متخصصان. ما يعن هذا هو انهم لا استطيع الا ان ياكل اشياء معين جدا ولا يمك تغييرها. في حين ان ثعب هو عموم مما يعن انه يمك بقاء علي قيد حيا مع تغيير سريع ، علي سبيل مثال عيش في مناخا مختلف مع مصادر طعام مختلفة.
4042,4043,6043,3.0,1.0,1.0,باندا صين كوال استرال كلا متخصص. يمك عيش في مكان واحد فقط لان حاج الي تناول ما هو موجود في تلك منطقة. انهم ليس مثل ثعب لان عمومي. يمك ان تعيش في اي مكان تتحمل عديد من مناخ مختلفة.
4043,4044,6044,3.0,1.0,1.0,ياكل باندا في غالب خيزر ، تاكل كوالا في غالب اوراق اوكالبتوس. كلا ياكل شكل اساس حيوانا متعدد مثل ابقار والنمور والتماسيح والذياب منتشر في جميع انحاء عالم يمك ان تكون خطير خاص نسب بشر.
4044,4045,6045,3.0,2.0,2.0,كل من باندا صين والكوال استرال متخصصون. هي عمومية. يمك باندا صين ان تاكل خيزر فقط ينم تاكل كوالا استرال اوكالبتوس قط. ثعاب قادر علي اكل تنوع اكبر غالب ما تعمل ثعاب شكل افضل في انس حوله. عموم اكثر قدر علي تكيف مع تغيير في نظام غذاء والبيء مما يجعل اكثر قدر علي بقاء والتكاثر شكل اكثر عالية.
4045,4046,6046,3.0,0.0,0.0,تتشاب باندا والكوال لان كلا ياكل عصار اوكوليبتوس ​​و مختلف عن ثعاب لان ثعاب تاكل حيوان اخري والكوال والباند لا تاكل.
4046,4047,6047,3.0,0.0,0.0,في هذه مقال ، تتم مقارن باندا والكوال شكل متشاب لان متخصصان. اعداد اقل كثير او اقل من حيوان اخري ، ومن سهل ان تعيش كل منه ثعاب غريب علي رغم من انه تعتبر حيو اليف غريبا.
4047,4048,6048,3.0,1.0,0.0,باندا والكوال في صين ، في استرالي هي نفس لان تاكل نبات ، تاكل ثعاب لحوم مثل تمساح والفيران.
4048,4049,6050,3.0,1.0,1.0,"باندا في صين تشب حيوانا كوالا في استرالي لان متخصصان. يشرح مقال كذل قول ، ""الباند صين ، الت لا تاكل شيء تقريب سوي خيزران"" ثم ذكر لاحق ، ""دب كوال استرال ، الذ ياكل اوراق اوكالبتوس"". انه تختلف عن ثعاب لان ثعاب عمومية."
4049,4050,6051,3.0,1.0,0.0,تختلف حيوانا باندا في صين عن كوالا في استرالي لان باندا لا تاكل شيء سوي خيزر والكوال تاكل اوراق كينا. كلا مختلف عن ثعاب سبب بيء الت يعيش فيه انواع اطعم مختلف الت ياكل كل حيوان.
4051,4052,6053,3.0,1.0,1.0,تتشاب باندا والكوال لان كلا يعتمد علي مصدر غذاء معين حيث يمك ان تتكيف ثعاب مع نوع طعام الذ تاكله.
4052,4053,6054,3.0,1.0,1.0,باندا والكوال كلا متخصص وهذ يعن انهم انتقايي غاية. علي سبيل مثال ، يتحدث مقال عن كيف ان باندا في صين تاكل بامبو فقط وان كوال استرال ياكل كينا فقط
4053,4054,6055,3.0,1.0,1.0,باندا من صين والكوال متشابه لان
4054,4055,6056,3.0,1.0,0.0,ياكل باندا في صين خيزر فقط مثل كوالا الت تاكل اوكالبتوس قط. ثعاب تاكل اي شيء.
4055,4056,6057,3.0,0.0,0.0,تتشاب باندا والكوال لان ياكل نوع واحد من طعام. هم حيوانا غير ضارة. تختلف عن ثعاب لان تاكل زواحف ولا تاكل عديد من اطعم مختلف كما انه لا تربي مثل ثعابين.
4056,4057,6058,3.0,0.0,0.0,تتشاب حيوانا باندا صين والكوال استرال لان كلا لا ياكل مجموع متنوع جدا من طعام. باندا لا تاكل شيء سوي خيزر ودب كوالا تاكل اوراق كينا نادرا. من اجل قاء عموم (الباند ودب كوالا) علي قيد حيا ، يحتاج الي تغيير ، وعل انتقال الي موط مختلف اكل اشياء مختلفة. لكن متخصص (الثعابين) يمك بقاء في نفس بيية.
4057,4058,6059,3.0,0.0,0.0,باندا ياكل خيزر فقط ، مما يعن انه غير ضار. ايض ، ياكل كوالا اوراق كينا طوال وقت تقريب ، علي عكس ثعابين. حيوانا باندا والكوال غير ضار تماما.
4058,4059,6060,3.0,2.0,2.0,تتشاب حيوانا باندا في صين والكوال في استرالي في طريق تناول نوع واحد فقط من طعام. انهم متخصص ، ولا يمك بقاء علي قيد حيا الا في مناطق معين يمك ان تدعم نظام غذاء اسلوب حياتهم. في هذه اثناء ، يمك بايث ان تاكل اي شيء يمك حصول عليه. انهم عمومي ، ويم عاد تكيف مع اي تغيير في بيء مباشر طالم انه مماثل لبيء طبيعية.
4059,4060,6061,3.0,1.0,1.0,تشب باندا في صين كوالا في استرالي لان كلا ياكل نوع من نباتات. ياكل باندا خيزر ياكل كوالا اوكالبتوس. يختلف كوالا والباند عن ثعاب لان تاكل حيوانا اخري مثل ثعاب والجرذان. سوف تتسبب ثعاب في انقراض انواع محلية.
4061,4062,6064,3.0,1.0,1.0,تتشاب باندا في صين والكوال في استرالي لان تاكل طعام واحد اكثر من غير ، تاكل باندا خيزر تاكل كوالا اوراق اوكالبتوس. كلا مختلف عن ثعاب لان كلا لدي متخصص خاص به.
4062,4063,6065,3.0,1.0,1.0,باندا والكوال من انواع متخصصة. تختلف عن ثعاب لان باندا والكوال من انواع متخصص والثعاب عامة. يمك بايث ايض عيش في اي مكان. لا تاكل ثعاب شيء واحد حيث تعيش باندا والكوال علي مصدر غذاء واحد حرفيا.
4063,4064,6066,3.0,1.0,1.0,تشب باندا في صين حيوانا كوالا في استرالي لان كلا مخلوقا من عاد (متخصصون) ياكل بعض نبات موجود في لدهم. تختلف لان عام ويم تكيف. والارض تتغير سرعة.
4064,4065,6067,3.0,1.0,1.0,"يشب باندا من صين ودب كوال من استرالي لان كلا ياكل نوع واحد فقط من طعام ، تقول مقال ان باندا ياكل خيزر فقط ودب كوالا ياكل اوراق كينا قط. يقول مقال انهم يختلف عن ثعاب لان مثل ""البشر"""
4065,4066,6068,3.0,1.0,1.0,لا يختلف كل من باندا في صين والكوال عن ثعاب لان باندا والكوال متخصص لا ياكل شيء تقريب الي جانب خيزر او اوكالبتوس. اما ثعب الذ هو عموم يكاد يشب انس فهو يقتل من اجل طعام.
4066,4067,6069,3.0,1.0,1.0,باندا في صين تشب كوالا في استرالي من خلال كون متخصصين. عن طريق اكل باندا كلا ولك ياكل خيزر والكوال اوراق اوكالبتوس شكل حصر تقريبا. كلا مختلف عن ثعاب من خلال كون ثعب متخصص قادر علي عيش في اي مكان من لوريد الي ايفرجلاسد الي فضاء خارج كون كوالا والباند متخصصين.
4067,4068,6071,3.0,0.0,0.0,باندا في صين تشب كوالا في استرالي سبب مناخ والبيية. كلا مختلف عن ثعاب لان ثعاب والثعاب اخري عاد ما تذهب عيد في غاب مثل بيية.
4068,4069,6072,3.0,1.0,1.0,تشب باندا في صين كوالا في استرالي لان كلا ياكل مصدر واحد فقط من طعام. تقول مقال ان باندا تاكل خيزر فقط ، وان كوالا تاكل شكل اساس اوراق كينا. تختلف هذه حيوان عن ثعاب لان ثعاب يمك ان تاكل اكثر من نوع واحد من طعام.
4071,4072,6075,3.0,0.0,0.0,في صين استرالي ، يتناول متخصص في غالب اشياء مثل خيزر او حتي اوكالبتوس ، وهو امر خطير مثل وضع ثعبان.
4072,4073,6076,3.0,1.0,1.0,لا استطيع باندا والكوال عيش في موايل اخري غير موط لان ليس بيء مناسبة. يمك عيش فقط في مكان جود مصدر غذاء هذا. ومع ذلك ، فان اكثر عموم في منطقتها. انهم حاج الي بيء دافء والماض اكثر قابل تكيف.
4073,4074,6077,3.0,2.0,2.0,تتشاب حيوانا باندا في صين والكوالاس في استرالي لان حيوان متخصص ، مما يعن انهم ياكل ، علي وجه حصر تقريب ، نوع معي من طعام ويم عيش في منطق واحد قط. في حين ان ثعاب لدي نظام غذاء اكبر كثير توكل اي شيء تقريبا. لذل ، يمك عيش في عديد من مناطق يطلق علي اسم عموميين.
4075,4076,6079,3.0,1.0,1.0,كل من باندا والكوال متماثل في غالب لان كلا تعلم انه لن يقاتل كثير من اجل طعام او يجده. ياكل باندا خيزر ياكل كوالا اوراق كينا قط. تختلف عن ثعاب لان ثعاب تاكل مجموع متنوع من اطعم ، فقط لحوم. هذا ما يسمون عموم لان ياكل مجموع متنوع من اطعمة.
4076,4077,6080,3.0,1.0,1.0,تشب حيوانا باندا في صين حيوانا كوالا في استرالي لان حيوانا متخصصة. هم ايض ياكل شيء واحد قط. هذا شيء وحيد نسب باندا هو خيزر ينم ياكل دب كوالا اوراق اوكالبتوس شكل حصر تقريبا. تختلف عن ثعاب لان ليس حيوانا اليفة.
4077,4078,6081,3.0,1.0,1.0,"ياكل باندا خيزر ياكل كوالا اوراق كينا. ياكل شيء واحد فقط ، عندم تاكل ثعاب كل شيء من ""الجرذان"" الي ""الاليغاتور""."
4079,4080,6083,3.0,0.0,0.0,باندا والكوال هي نفس من حيث انه تعيش فقط في منطق واحد وان ثعاب تتغذي والباند والكوال ملحوظة.
4080,4081,6084,3.0,1.0,1.0,باندا صين ودب كوال استرال متشابه لان يعيش علي نوع واحد من طعام. تختلف عن ثعاب لان ثعاب تتغذي علي فير والقوارض انواع مختلف من حيوان حتي تتم من بقاء علي قيد حياة.
4081,4082,6085,3.0,2.0,2.0,باندا في صين تشب حيوانا كوالا في استرالي لان لا استطيع بقاء علي قيد حيا الا في تلك اماكن. جاء في مقال ان باندا صين لا تاكل شيء تقريب سوي خيزر او دب كوالا استرال ، الذ ياكل اوراق كينا شكل حصر تقريبا. تختلف عن ثعاب لان منتشر في جميع انحاء عالم في مناخ دافء لان تاكل اي شيء.
4088,4089,6092,3.0,1.0,2.0,كل من باندا والكوال حيوانا متخصص معني انه تاكل شيء واحد حصري او تعيش في منطق حصر واحدة. هي عموم ، فه تاكل عديد من اشياء مختلف ويم ان تعيش في مجموع كبير من موايل.
4089,4090,6094,3.0,1.0,1.0,باندا في صين والكوال في استرالي متشابه جدا مع بعض بعض من نواح كثيرة. علي سبيل مثال ، ياكل باندا خيزر ولا شيء اخر مثل كوالا ولك ياكل اوراق اوكالبتوس. كلا ياكل نوع واحد من طعام يبقي معه علي عكس ثعب الذ يمك اكل اي شيء وف كل مرة. ما انا رجل هو انه يمك ان ياكل فار في المر قادم الت ياكل فيه تمساح او ثعب اخر.
4090,4091,6095,3.0,0.0,0.0,باندا في صين تشب كوالا في استرالي لان من ثدييات. كلا ياكل نفس نوع من حيا نبات ينظر الي علي انهم مخلوقا غير ضارة. من ناح اخري ، تعتبر ثعاب من زواحف. هم من اكلا لحوم ، يحبون لحوم. يري ناس ثعاب لنا حيوانا خطير شريرة.
4091,4092,6096,3.0,2.0,2.0,باندا من صين و من استرالي متشابه تمام في حقيق انه لا استطيع تناول طعام الا من مصدر واحد ، تال ، لا يمك عيش الا في بيء واحدة. ومع ذلك ، فه تختلف عن ثعاب ، لان ثعاب اكثر تغلغل ويم ان تتكيف سهول مع انظم غذاء جديدة.
4093,4094,6098,3.0,0.0,0.0,لان يبدون متشابه هنا سبب مختلف اكثر كسل من اخر والباند لا ياكل شيء سوي خيزر ودب كوالا ياكل اوراق اوكالبتوس.
4094,4095,6099,3.0,1.0,1.0,باندا والكوال متشابه لان كلا ياكل نبات قط. ياكل دب باندا خيزر ياكل كوالا اوراق اوكالبتوس. كلا مختلف عن ثعاب لان ثعاب تاكل لحوم توذ ناس ولك باندا والكوال لا ياكل سوي نباتاتهم.
4095,4096,6100,3.0,0.0,0.0,تختلف حيوانا باندا صين والكوال استرال عن ثعاب لان ثعاب لا تحتو علي فراء ، بل لها قشور. يعرف باندا والكوال كيف دفاع عن انفس في البر وما طعام الذ يمك تناوله.
4097,4098,6102,3.0,0.0,1.0,"باندا والكوال تشب ثعاب لان كلا يعيش في مكان خاص. جاء في النص ان ""الاختصاص يمك ان يعيش في اي مكان من لوريد الي قار قطب جنوب الي فضاء خارج باند صين او كوال استراليا"". انه مختلف لان ثعاب تعيش في اي مكان مع تكنولوجيا حيث تعيش دبب باندا صين دبب كوالا استرال في بيء طبيعية."
4098,4099,6103,3.0,1.0,1.0,تختلف دبب باندا والكوال عن ثعاب لان تاكل نبات قط. لا ياكل باندا سوي خيزر ، ياكل كوالا اوراق اوكالبتوس شكل حصر تقريبا. تاكل ثعاب حيوانا اخري مثل فير ، بل انه حاول اكل تمساح.
4099,4100,6104,3.0,1.0,1.0,تشب حيوانا باندا في صين كوالا استرال لان كلا حصر جدا بيء الت تعيش يها. علي سبيل مثال ، ياكل باندا خيزر فقط ينم ياكل كوالا اوراق كينا اكثر من اي شيء اخر. يختلف هذان حيوان عن ثعاب لان ليس من انواع غاز الت يمك ان تسبب ضرر لمحيط او حيوان اخرى.
4100,4101,6105,3.0,0.0,0.0,تشب باندا كوالا لان دبب ولد انظم غذاء متشابهة. كلا مختلف عن ثعاب لان ليس قريب من بعض توابل.
4101,4102,6106,3.0,1.0,0.0,لا ياكل باندا صين سوي خيزر ودب كوالا استرال ياكل اوراق كينا شكل حصر تقريب ، وفق فقر 21 ، يختلف هذان نوع عن ثعب لان ثعب هو من اكلا لحوم يبتلع طعام ايضا.
4102,4103,6107,3.0,1.0,1.0,تشب حيوانا باندا في صين كوالا في استرالي لان كلا ياكل خيزر يغادر كينا طوال يوم كما هو موضح في صفح 5. وهذ يختلف عن ثعب لان ياكل لحوم يمك ان يوذ شخص ما.
4108,4109,6113,3.0,1.0,1.0,باندا في صين تشب حيوانا كوالا في استرالي لان متخصصان. في صين ، لا ياكل باندا شيء تقريب سوي خيزر ، وف استرالي ، لا ياكل دب كوالا شيء تقريب سوي اوراق كينا. كلا مختلف عن ثعاب لان انواع اخري متخصص ، ثم ثعابين. بايث هم عموميين.
4109,4110,6114,3.0,2.0,2.0,كل من باندا في صين والكوال في استرالي متخصص ، مما يعن انهم ياكل نوع واحد من طعام شكل اساسي. خيزر لحفر باندا اوكالبتوس افاريز كوالا. لكن هي عموم ، مما يعن انه تاكل اي شيء تقريبا. فرق رييس بين باندا والثعاب والكوال هو ان باندا والكوال لا يمك ان يعيش خارج بيء طبيع لان يتضور جوع ، لكن ثعاب يمك ان تعيش في اي مكان ولا تزال تجد طعام.
4110,4111,6115,3.0,1.0,1.0,تتشاب حيوانا باندا والكوال لان متخصص لذا فهم يعرف فقط كيف بقاء علي قيد حيا في بيء هناك. يختلف كل من باندا والكوال عن ثعب لان ثعب عمومي. يمك ان يعيش والعيش في اي مكان عام.
4112,4113,6117,3.0,2.0,2.0,باندا في صين تشب حيوانا كوالا في استرالي لان متخصصان. لا تاكل باندا شيء تقريب سوي خيزر ، ولا تاكل كوالا شيء تقريب سوي اوراق كينا. تختلف ثعاب عن هاتين ثدييت لان عمومية. ياكل انواع مختلف من حيوان ، ويم بقاء علي قيد حيا في معظم مناخات.
4113,4114,6118,3.0,2.0,2.0,"تتشاب حيوانا باندا في صين و في استرالي لان مصنف علي انه ""متخصصة"" ، مما يعن ان لدي ظروف خاص جدا عيش. لا ياكل باندا شيء تقريب سوي خيزر ، ياكل كوالا اوراق اوكالبتوس شكل حصر تقريبا. هذا يختلف عن ثعاب لان لدي طيف اوسع كثير من طعام سوف ياكل عديد من اشياء مختلف من اجل بقاء علي قيد حيا عندم حاول احد ابتلاع اليغاتور."
4114,4115,6119,3.0,1.0,1.0,باندا في صين فقط خيزر كل يوم تقريب والكوال في استرالي ياكل اوراق ، لذل كلا حيوانا نبات ينم ثعاب هم من ياكل لحوم ياكل اي لحوم يمك حصول عليها.
4117,4118,6122,3.0,0.0,0.0,تشتر باندا في صين في السم مع كوالا في استراليا. كلا لهم نفس نظام غذاء وهو خيزران. كما انهم يعيش في نفس مناخ
4118,4119,6123,3.0,1.0,1.0,باندا في صين تشب حيوانا كوالا في استرالي لان متخصصان. ياكل نفس اشياء. لن يكون قادر علي عيش في اي مناخ اخر لان ثعاب عام يمك تكيف في اي مكان.
4120,4121,6125,3.0,2.0,2.0,باندا في صين تشب كوالا في استرالي لان كاينا متخصصة. لا يمك انتقال من موط اصل ، صين استرالي ، لان لا استطيع عيش الا من مناخ تلك بيء مصدر غذاء. تختلف لان عمومية. انهم قادر علي تحرك في ييا مختلفة. شوهد ثعاب في عديد من اماك مختلفة.
4123,4124,6128,3.0,1.0,1.0,باندا في صين تشب الي حد عيد كوالا في استراليا. استهل باندا خيزر فقط ينم تاكل دبب كوالا اوراق اوكالبتوس. في مقابل ، يمك ان تبتلع ثعاب تمساح كاملا. اذا تمك ثعب من ابتلاع تمساح اكمل ، فيم تاكيد ان ياكل انسان. لذل فان حيوانا باندا والكوال اقل ضرر كثير من ثعابين.
4124,4125,6129,3.0,1.0,2.0,باندا في صين والكوال في استرالي متشابه لان نوعان متخصصان. يحتاج كلا الي اطعم معين مثل خيزر اوراق كينا بيء مستقر بقاء علي قيد حيا ، فكل يختلف عن ثعاب لان ثعاب عموم يمك بقاء علي قيد حيا والتكيف مع اي حال معيش تقريب ولا تحتاج الي بيء مستقر بقاء علي قيد حياة.
4126,4127,6131,3.0,2.0,2.0,لكل من باندا والكوال احتياجا غذاء محدد ، تحتاج الي بقاء في بيء يوجد فيه وفر من هذا طعام. تحتاج باندا الي خيزر تحتاج كوالا الي اوراق اوكالبتوس ، علي عكس ثعب الذ يمك اكل اي حيوان اخر. ثعب هو اختصاص عام سيك من اسهل عيش في اي مكان مقارن باندا والكوال متخصصين.
4127,4128,6132,3.0,2.0,2.0,باندا في صين والكوال في استرالي متشابهتان. كلا متشاب لان كلا متخصص. لا يمك بقاء علي قيد حيا في اماك خال من خيزر او اوكالبتوس الذ ياكلونه. اذا تم نقل الي امريك ، فان يموت في ريتنا. ثعب مختلف. ثعب هو اختصاصي. يمك عيش في مجموع اكبر من اماك مثل اسي او اجزاء جنوب من ولا متحدة. هذا يمك ان يود الي ان تصبح ثعاب انواع غاز ، حيث لا يوجد لدي مفترسا في بيء جديدة. لا يمك ان يصبح باندا من انواع غازية.
4128,4129,6133,3.0,2.0,2.0,"تشب باندا كوالا لان ""متخصصة"" كما ذكر مقال ، قدر ما تحتاج الي بيء موحد مستقر للغا بقاء علي قيد حياة. انه تختلف عن ثعب ، الذ يعتبر ""عاما"" ، نظر لقدر علي بقاء علي قيد حيا في كل مكان والتكيف مع مصادر غذاء ييته."
4129,4130,6134,3.0,2.0,2.0,"لا تكاد تاكل باندا في صين اي شيء سوي خيزر ، فه تشب الي حد كبير دب كوال استرال ، الذ ياكل اوراق اوكالبتوس حصريا. كلا هذين حيوان يختلف عن ثعاب الت من محتمل ان تتكيف مع اما جديد تاكل اي شيء تقريب من جرذ حتي تمساح. ""ايفرجليدز في عام 2005: ابتلع ثعبان تمساحا."" هذا فرق كبير نسب لي."
4130,4131,6135,3.0,1.0,1.0,باندا صين والكوال استرال من انواع متشابهة. كلا حيوانا متخصص ، وكل لدي شيء في وطن يحتاج الي بقاء علي قيد حيا في تلك صحراء الت تنمو في اي مكان اخر. هي نوع عام لذا يمك تكيف مع اماك الت ليس موط لها.
4134,4135,6139,3.0,0.0,0.0,باندا والكوال حيوانا غير ضارة. لا ياكل فير او تمساح او بشر. هم مختلف مثل ثعابين.
4135,4136,6140,3.0,1.0,0.0,باندا في صين تشب حيوان كوالا في استرالي لان باندا ليس كثير في حقيقة. ياكل باندا في غالب خيزر ياكل كوالا اوراق اوكالبتوس. انه مختلف عن ثعب لان ثعب ابتلع تمساح كامل ثم انفجر.
4136,4137,6141,3.0,0.0,0.0,باندا والكوال متشابهت لان كلا يعيش حيا حيد لان دود مع نية بشر وكل ياكل شيء واحد ياكل باندا بامبو ياكل كوالا نباتا دايم خضرة.
4137,4138,6143,3.0,1.0,1.0,باندا في صين تشب الي حد عيد كوالا في استرالي ، في مقال ، يشرح هذا مقال كيف ياكل باندا خيزر ياكل كوالا نبا اوكالبتوس ، كلا ياكل قليل جدا من طعام ، اما ثعاب من ناح اخري فه مختلف قليل تاكل حيوان كما هو حال في الي كبير مثل تمساح.
4138,4139,6144,3.0,2.0,2.0,"ياكل كل من باندا والكوال شكل عام نوع واحد فقط من طعام. ياكل باندا خيزر وفق فقر 21. "".. باندا ، الت لا تاكل شيء تقريب سوي خيزران"" وف نفس فقر تقول كوالا تاكل اوراق اوكالبتوس ""بشكل حصر تقريبا"". تعتبر لعب قصة مختلف ، علي عكس باندا والكوال ، فان تاكل عموم اي شيء يمك حصول عليه. كما هو حال في فقر 13 ، واج ثعب تمساح حاول اكل ، مما ادي دور الي فاته."
4139,4140,6145,3.0,0.0,0.0,تشب حيوانا باندا في صين حيوانا كوالا في استرالي لان كلا متخصص ، فكل ياكل اوراق والخضروا اخري قط.
4140,4141,6146,3.0,2.0,1.0,باندا في صين والكوال في استرالي كلا متخصصان. كلا يفرد نوع واحد من طعام ياكل قط. انه تختلف عن ثعب لان ثعاب عمومية. تعتبر ثعاب اكثر خطور تاكل اي شيء تقريبا. يمك ان تعيش في ثقافا مناخا مختلف عن متخصصين.
4141,4142,6147,3.0,2.0,1.0,الدب باندا صين سوف ياكل فقط اوراق خيزر ويم كوالا ان ياكل النب شكل اساسي. يقتصر هذان نوع علي مكان جود تلك نباتات. يمك بايث ان تاكل جميع انواع طعام ويم ان تتكيف سرع مثلم تاكل تمساح.
4142,4143,6148,3.0,1.0,2.0,تتشاب حيوانا باندا في صين والكوال في استرالي لان كلا متخصص ولا يمك تناول اطعم اخري الي جانب ما هو موجود في بيء في حين ان ثعاب عموم ويم تكيف مع اطعم والبييا مختلفة. لا يعد تغيير بيء نسب ثعب امر بالغ اهم لصحته.
4143,4144,6149,3.0,1.0,1.0,ياكل باندا في صين خيزر فقط ، ينم ياكل كوالا في استرالي اوراق اوكالبتوس فقط ، كما انهم متخصصان. تعتبر عام ويم ان تاكل اي شيء الي حد كبير.
